,reward_0.001,steps_0.001,end_0.001,reward_0.005,steps_0.005,end_0.005,reward_0.01,steps_0.01,end_0.01,reward_0.1,steps_0.1,end_0.1
8443,-127.5,56,2.0,4868.0,265,0.0,4997.5,6,0.0,-776.5,1354,1.0
8444,4989.0,23,0.0,-102.5,6,2.0,4950.0,101,0.0,-142.0,85,1.0
8445,4995.0,11,0.0,4987.0,27,0.0,4969.0,63,0.0,-100.5,2,1.0
8446,-108.5,18,2.0,-1000.0,2000,,4939.0,123,0.0,-268.0,337,1.0
8447,4996.0,9,0.0,4987.0,27,0.0,4982.5,36,0.0,-164.0,129,1.0
8448,4944.5,112,0.0,4997.5,6,0.0,4978.0,45,0.0,-126.0,53,1.0
8449,4995.5,10,0.0,4992.0,17,0.0,4962.0,77,0.0,-104.0,9,1.0
8450,4986.5,28,0.0,4988.5,24,0.0,4995.5,10,0.0,-125.0,51,1.0
8451,4988.0,25,0.0,4986.0,29,0.0,4966.0,69,0.0,-201.5,204,1.0
8452,4997.5,6,0.0,4991.0,19,0.0,4911.0,179,0.0,-111.0,23,1.0
8453,4864.5,272,0.0,4993.5,14,0.0,4997.5,6,0.0,-100.5,2,2.0
8454,-106.0,13,1.0,4993.0,15,0.0,4953.0,95,0.0,-103.5,8,1.0
8455,-104.0,9,2.0,4930.0,141,0.0,4991.0,19,0.0,-287.0,375,1.0
8456,4995.0,11,0.0,4994.5,12,0.0,4983.0,35,0.0,-102.0,5,2.0
8457,4996.5,8,0.0,4995.0,11,0.0,4719.0,563,0.0,-102.0,5,2.0
8458,-128.0,57,2.0,4994.5,12,0.0,4978.5,44,0.0,-122.0,45,1.0
8459,4997.0,7,0.0,4980.0,41,0.0,4920.0,161,0.0,-105.5,12,1.0
8460,-139.5,80,2.0,4997.5,6,0.0,4623.5,754,0.0,-132.0,65,1.0
8461,4997.0,7,0.0,4993.0,15,0.0,4991.5,18,0.0,-949.5,1700,2.0
8462,-1000.0,2000,,4993.5,14,0.0,4984.5,32,0.0,4997.5,6,0.0
8463,4986.0,29,0.0,4998.0,5,0.0,4857.0,287,0.0,-116.0,33,2.0
8464,4983.0,35,0.0,4990.0,21,0.0,4963.5,74,0.0,-115.0,31,1.0
8465,4989.5,22,0.0,4998.5,4,0.0,4941.5,118,0.0,-1000.0,2000,
8466,4975.0,51,0.0,-125.5,52,2.0,4523.0,955,0.0,-104.0,9,1.0
8467,4996.5,8,0.0,4989.0,23,0.0,5000.0,1,0.0,-217.0,235,1.0
8468,4987.5,26,0.0,4980.0,41,0.0,4982.5,36,0.0,-120.5,42,2.0
8469,4967.0,67,0.0,4980.5,40,0.0,4969.0,63,0.0,4573.5,854,0.0
8470,4988.0,25,0.0,4992.0,17,0.0,4972.0,57,0.0,-109.5,20,2.0
8471,4991.5,18,0.0,4987.5,26,0.0,4996.5,8,0.0,-278.5,358,1.0
8472,-225.0,251,1.0,4988.5,24,0.0,4885.5,230,0.0,-490.0,781,1.0
8473,-110.0,21,1.0,4990.5,20,0.0,4996.5,8,0.0,-105.0,11,1.0
8474,4989.5,22,0.0,4990.5,20,0.0,4995.0,11,0.0,-104.0,9,2.0
