,reward_0.2,steps_0.2,end_0.2,reward_0.4,steps_0.4,end_0.4,reward_0.6,steps_0.6,end_0.6,reward_0.8,steps_0.8,end_0.8
6420,4939.5,122,0.0,4582.5,836,0.0,4987.5,26,0.0,4945.5,110,0.0
6421,4999.5,2,0.0,4997.0,7,0.0,4995.0,11,0.0,4881.0,239,0.0
6422,4997.5,6,0.0,4998.0,5,0.0,4988.0,25,0.0,-118.5,38,2.0
6423,4996.0,9,0.0,4956.0,89,0.0,4991.0,19,0.0,-104.0,9,2.0
6424,4993.5,14,0.0,-156.5,114,1.0,-125.5,52,2.0,-225.5,252,2.0
6425,4989.0,23,0.0,4997.5,6,0.0,4970.0,61,0.0,4996.0,9,0.0
6426,4992.0,17,0.0,4970.0,61,0.0,4995.5,10,0.0,-100.5,2,2.0
6427,4991.0,19,0.0,-108.5,18,1.0,4991.5,18,0.0,-148.5,98,1.0
6428,4995.0,11,0.0,-124.0,49,2.0,4987.5,26,0.0,4991.5,18,0.0
6429,4229.5,1542,0.0,4989.5,22,0.0,4977.5,46,0.0,4885.5,230,0.0
6430,4866.5,268,0.0,4994.0,13,0.0,-101.0,3,1.0,-156.5,114,2.0
6431,4998.5,4,0.0,4865.5,270,0.0,4989.5,22,0.0,4988.5,24,0.0
6432,-110.5,22,2.0,4760.0,481,0.0,4978.0,45,0.0,5000.0,1,0.0
6433,4994.0,13,0.0,4928.0,145,0.0,4996.0,9,0.0,-100.5,2,2.0
6434,4998.5,4,0.0,4997.5,6,0.0,4990.5,20,0.0,-116.5,34,1.0
6435,4988.5,24,0.0,4990.0,21,0.0,4968.5,64,0.0,-110.0,21,2.0
6436,4939.0,123,0.0,4996.5,8,0.0,4998.0,5,0.0,-102.0,5,1.0
6437,4840.5,320,0.0,4891.5,218,0.0,4975.0,51,0.0,4933.0,135,0.0
6438,4993.5,14,0.0,4992.5,16,0.0,4976.0,49,0.0,4935.5,130,0.0
6439,4990.5,20,0.0,4985.0,31,0.0,4999.0,3,0.0,-104.5,10,1.0
6440,4997.5,6,0.0,4981.5,38,0.0,4973.0,55,0.0,4995.0,11,0.0
6441,4995.5,10,0.0,4998.0,5,0.0,4969.0,63,0.0,-140.5,82,2.0
6442,4987.5,26,0.0,4039.5,1922,0.0,4945.5,110,0.0,4961.5,78,0.0
6443,4993.0,15,0.0,4983.5,34,0.0,4988.5,24,0.0,4957.5,86,0.0
6444,4999.0,3,0.0,4995.5,10,0.0,4999.5,2,0.0,-109.0,19,2.0
